ID,Year,Quarter,Timeline,Name of Company,Location,Sector,Deals,Round,Stage,Value,Lead Investor,Syndication Partners,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Q1,Q2,Q3,Q4
3,2020,Q1,Feb-20,Coherent Solutions,Auckland,Technology Hardware & Equipment,1,2,Start-up,1500000,Private,"KIW1, Aspire",0,1500000,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0
4,2020,Q1,Feb-20,Retirement Income Group,Auckland,Software & Services,1,6,Early Expansion,500000,Enterprise Angels,Enterprise Angels,0,500000,0,0,0,0,0,0,0,0,0,0,500000,0,0,0
5,2020,Q1,Feb-20,Terax Innovation,Auckland,"Pharmaceuticals, Biotechnology & Life Sciences",1,1,Proof of Concept,750000,Pacific Channel,"Pacific Channel, private investors",0,750000,0,0,0,0,0,0,0,0,0,0,750000,0,0,0
7,2020,Q1,Mar-20,Aquafortus,Auckland,Capital Goods,1,3,Seed,2500000,Launch Taranaki,"Launch Taranaki, AstraLab, Aspire",0,0,2500000,0,0,0,0,0,0,0,0,0,2500000,0,0,0
8,2020,Q1,Mar-20,Freight Fish,Auckland,Transportation,1,2,Start-up,1500000,Blackbird Ventures,"Icehouse Ventures, K1W1",0,0,1500000,0,0,0,0,0,0,0,0,0,1500000,0,0,0
9,2020,Q1,Mar-20,Insite.AI (formerly DemandForcasting.com),Auckland,Software & Services,1,3,Proof of Concept,1000000,Private,"KIW1, Aspire",0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0
11,2020,Q1,Mar-20,Nectar,Auckland,Software & Services,1,5,Early Expansion,750000,Eden Ventures,Eden Ventures,0,0,750000,0,0,0,0,0,0,0,0,0,750000,0,0,0
14,2020,Q1,Mar-20,Spoke Network Limited,Auckland,Software & Services,1,3,Start-up,1500000,Enterprise Angels,"Enterprise Angels, Icehouse Ventures, Flying Kiwi Angels, Aspire",0,0,1500000,0,0,0,0,0,0,0,0,0,1500000,0,0,0
16,2020,Q1,Mar-20,Tinderbox Media Limited (t/a Moxion),Auckland,Software & Services,1,3,Start-up,1000000,Flying Kiwi Angels,"Flying Kiwi Angels, other angels",0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0,0
17,2020,Q1,Mar-20,Voltaic Innovations,Auckland,Transportation,1,1,Start-up,500000,Impact Enterprise Fund,"Icehouse Ventures, K1W1, Aspire",0,0,500000,0,0,0,0,0,0,0,0,0,500000,0,0,0
20,2020,Q2,Apr-20,Ambit Limited,Auckland,Software & Services,1,2,Start-up,1000000,Flying Kiwi Angels,"FKA, Aspire",0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0
21,2020,Q2,Apr-20,Chnnl,Auckland,Software & Services,1,1,Seed,1000000,Cure Kids Ventures,"Cure Kids Ventuers, Flying Kiwi Angels",0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000,0,0
22,2020,Q1,Apr-20,Compliance Audit Systems,Auckland,Software & Services,1,1,Start-up,250000,UniServices,Matu Fund,0,0,0,250000,0,0,0,0,0,0,0,0,250000,0,0,0
23,2020,Q1,Apr-20,KARA Technologies,Auckland,Software & Services,1,1,Start-up,250000,UniServices,"Soul Capital, Constellate",0,0,0,250000,0,0,0,0,0,0,0,0,250000,0,0,0
24,2020,Q2,Apr-20,Orbis Diagnostics,Auckland,"Pharmaceuticals, Biotechnology & Life Sciences",1,2,Proof of Concept,750000,Pacific Channel,"Pacific Channel, Aspire",0,0,0,750000,0,0,0,0,0,0,0,0,0,750000,0,0
25,2020,Q2,May-20,Argo Navis Aerospace Ltd,Auckland,Aerospace & Defense,1,1,Seed,250000,WNT Ventures,"WNT Ventures, private investors",0,0,0,0,250000,0,0,0,0,0,0,0,0,250000,0,0
26,2020,Q2,May-20,Aroa (formerly Mesynthes Ltd),Auckland,"Pharmaceuticals, Biotechnology & Life Sciences",1,8,Expansion,2500000,Offshore VC,Unknown,0,0,0,0,2500000,0,0,0,0,0,0,0,0,2500000,0,0
28,2020,Q2,May-20,Jasper,Auckland,Software & Services,1,3,Early Expansion,2500000,Private Investors,Private investors,0,0,0,0,2500000,0,0,0,0,0,0,0,0,2500000,0,0
29,2020,Q2,May-20,Zenno Astronautics,Auckland,Aerospace & Defense,1,1,Seed,500000,UniServices,"UniServices, Aspire",0,0,0,0,500000,0,0,0,0,0,0,0,0,500000,0,0
32,2020,Q2,Jun-20,FormusLabs,Auckland,Health Care Equipment & Services,1,2,Seed,750000,Flying Kiwi Angels,"Flying Kiwi Angels, Cure Kids Ventures, Aspire",0,0,0,0,0,750000,0,0,0,0,0,0,0,750000,0,0
35,2020,Q2,Jun-20,MAIA,Auckland,Software & Services,1,1,Start-up,250000,UniServices,Unknown,0,0,0,0,0,250000,0,0,0,0,0,0,0,250000,0,0
37,2020,Q2,Jun-20,StrutFit,Auckland,Software & Services,1,1,Start-up,500000,UniServices,"UniServies, K1W1, Aspire",0,0,0,0,0,500000,0,0,0,0,0,0,0,500000,0,0
38,2020,Q2,Jun-20,Tectonus,Auckland,Materials,1,1,Start-up,1500000,UniServices,"UniServices, Angel HQ, Aspire",0,0,0,0,0,1500000,0,0,0,0,0,0,0,1500000,0,0
40,2020,Q2,Jun-20,Weirdly,Auckland,Software & Services,1,1,Start-up,1500000,K1W1,"KIW1, Punakaiki Fund,Aspire",0,0,0,0,0,1500000,0,0,0,0,0,0,0,1500000,0,0
41,2020,Q2,Jun-20,Wing Acoustics,Auckland,Capital Goods,1,2,Seed,1500000,Enterprise Angels,"Enterprise Angels, AIM, Aspire",0,0,0,0,0,1500000,0,0,0,0,0,0,0,1500000,0,0
42,2020,Q3,Jul-20,Acuite,Auckland,Software & Services,1,4,Start-up,750000,Icehouse Ventures,K1W1,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,750000,0
45,2020,Q3,Jul-20,Tinderbox Media Limited (t/a Moxion),Auckland,Software & Services,1,3,Start-up,750000,Flying Kiwi Angels,"Flying Kiwi Angels, other angels",0,0,0,0,0,0,750000,0,0,0,0,0,0,0,750000,0
46,2020,Q3,Jul-20,AoAir,Auckland,Consumer Durables & Apparel,1,1,Seed,2500000,Blackbird Ventures,"Blackbird,  Oregon Sports Angels",0,0,0,0,0,0,2500000,0,0,0,0,0,0,0,2500000,0
