ID,Group,Activity,Description,Hub,CC,ActGrp,Level of service,Maintain,Increase,Growth,Status,SPENT,Cost22,Cost23,AP23,AP23 Variance,Cost24,Cost25,Cost26,Cost27,Cost28,Cost29,Cost30,Cost31,Total
1,Commercial Operations,Staff Housing,Commercial Property - Staff Housing Upgrades,Finance & Affordability,Staff Housing ,Commercial Operations,Maintain,100,0,0,ONGOING,NO SPEND IN AP23,67436,77025,77025,0,73640,75530,77350,10179,10431,10701,10980,11250,424522
2,Commercial Operations,Community Housing,Community Housing - Upgrades,Finance & Affordability,Community Housing,Commercial Operations,Maintain,100,0,0,ONGOING,NO SPEND IN AP23,200000,205400,205400,0,210400,215800,221000,226200,231800,237800,244000,250000,2242400
3,Environmental Services and Protection,Parking,Parking Meter Renewals,Environmental Services & Protection,Parking,Environmental Services and Protection,Maintain,100,0,0,ONGOING,LESS,250000,154500,45,109000,0,0,0,0,0,0,0,0,404500
4,Regional Leadership & Support Services,Information Services,Orthophoto Regeneration - Aerial Photography,Internal Partnerships,Information Services,Support Services,Maintain,100,0,0,ONGOING,NO SPEND IN AP23,40000,40371.88,40371.88,0,40576.116,40771.408,41030.848,41226.867,41448.07,41762.976,42013.134,42216.46,411418
5,Regional Leadership & Support Services,Information Services,Existing Core Hardware Renewal,Internal Partnerships,Information Services,Support Services,Maintain,100,0,0,ONGOING,OVER,667000,449080,521580,-72500,570357.2,500000,350000,710000,530000,550000,560000,575000,5461437
6,Regional Leadership & Support Services,Information Services,Software Renewals & Upgrades,Internal Partnerships,Information Services,Support Services,Maintain,100,0,0,ONGOING,OVER,210000,97850,170350,-72500,147980,303520,250650,257175,211320,223480,242190,280720,2224885
7,Regional Leadership & Support Services,Information Services,Enterprise Solution - Capex,Internal Partnerships,Information Services,Support Services,Maintain/Increase,70,30,0,ONGOING,LESS,2433660,2060000,0,206000,0,0,0,0,0,0,0,0,4493660
8,Regional Leadership & Support Services,Information Services,Digitisation Of Records - Capex,Internal Partnerships,Information Services,Support Services,Increase,0,100,0,ONGOING,OVER,625400,621708,727000,-105000,649385.919,0,0,0,0,0,0,0,1896494
9,Regional Leadership & Support Services,Information Services,New IS Supported Software,Internal Partnerships,Information Services,Support Services,Increase,0,100,0,ONGOING,NO SPEND IN AP23,20000,5150,5150,0,79275,21680,11140,0,0,0,0,0,137245
10,Regional Leadership & Support Services,Information Services,Business Analytics,Internal Partnerships,Information Services,Support Services,Maintain/Increase,50,50,0,ONGOING,NO SPEND IN AP23,131500,135445,135445,0,138995.5,142546,146491,150304.5,154381,158852,163323,167794,1489632
11,Regional Leadership & Support Services,Civic,Chambers Furniture,Internal Partnerships,Democratic Process,Governance and Democracy  ,Maintain ,100,0,0,ONGOING,OVER,0,0,100000,-100000,0,0,55700,0,0,0,0,0,55700
