tier1,tier2,tier3,Last_Update,Confirmed,Deaths,Recovered,Active,shpj,nz_update_time
Australia,Australasia,Oceania,2020:04:20 03:38:26,6547,67,4124,2356,Australia,20-April
Austria,West Europe,Europe,2020:04:20 03:30:32,14749,452,10501,3796,Austria,20-April
Canada,North America,The Americas,2020:04:20 03:38:10,36039,1625,11852,22562,Canada,20-April
China,East Asia,Asia,2020:04:20 01:57:48,83817,4636,77706,1475,China,20-April
Denmark,North Europe,Europe,2020:04:20 03:30:32,7580,355,4328,2897,Denmark,20-April
Finland,North Europe,Europe,2020:04:20 03:30:32,3783,94,1700,1989,Finland,20-April
France,West Europe,Europe,2020:04:20 03:30:32,154098,19744,37188,97166,France,20-April
Germany,West Europe,Europe,2020:04:20 03:30:32,145742,4642,88000,53100,Germany,20-April
Iceland,North Europe,Europe,2020:04:20 03:30:32,1771,9,1291,471,Iceland,20-April
Ireland,North Europe,Europe,2020:04:20 03:30:32,15251,610,77,14564,Ireland,20-April
Italy,South Europe,Europe,2020:04:20 03:30:32,178972,23660,47055,108257,Italy,20-April
Netherlands,West Europe,Europe,2020:04:20 03:30:32,32838,3697,322,28819,Netherlands,20-April
Norway,North Europe,Europe,2020:04:20 03:30:32,7078,165,32,6881,Norway,20-April
Russia,East Europe,Europe,2020:04:20 03:30:32,42853,361,3291,39201,Russia,20-April
Sweden,North Europe,Europe,2020:04:20 03:30:32,14385,1540,550,12295,Sweden,20-April
Switzerland,West Europe,Europe,2020:04:20 03:30:32,27740,1393,17800,8547,Switzerland,20-April
United Kingdom,North Europe,Europe,2020:04:20 03:30:32,121173,16095,437,104641,United Kingdom,20-April
US,North America,The Americas,2020:04:20 03:30:52,759569,40679,70927,647963,United States,20-April
Afghanistan,South Asia,Asia,2020:04:20 03:30:32,996,33,131,832,Afghanistan,20-April
Albania,South Europe,Europe,2020:04:20 03:30:32,562,26,314,222,Albania,20-April
Algeria,North Africa,Africa,2020:04:20 03:30:32,2629,375,1047,1207,Algeria,20-April
Andorra,South Europe,Europe,2020:04:20 03:30:32,713,36,235,442,Andorra,20-April
Angola,Central Africa,Africa,2020:04:20 03:30:32,24,2,6,16,Angola,20-April
Antigua and Barbuda,Caribbean,The Americas,2020:04:20 03:30:32,23,3,3,17,Antigua and Barbuda,20-April
Argentina,South America,The Americas,2020:04:20 03:30:32,2941,134,709,2098,Argentina,20-April
Armenia,West Asia,Asia,2020:04:20 03:30:32,1291,20,545,726,Armenia,20-April
Azerbaijan,West Asia,Asia,2020:04:20 03:30:32,1398,19,712,667,Azerbaijan,20-April
