costcode,programme,portfolio,description,expenditure,generalrates,targetedrates,grants,otherrevenue,revenue,geographicarea
P046535,Public Transport,Transport,Vehicle Trusts - Amberley,10400,0,4200,6100,100,10400,Amberley
P039607,Cleaner Home Heating,Air,Air Implementation (Subsidies) - Ashburton,61600,0,0,0,61600,61600,Ashburton Air
PAHD,Flood Protection and Control Works,Hazards,Ashburton Hinds,214400,9400,178600,0,26400,214400,Ashburton Hinds
PASB,Flood Protection and Control Works,Hazards,Ashburton River,734600,107300,607800,0,19500,734600,Ashburton River
P046501,Public Transport,Transport,Total Mobility - Ashburton,77500,0,27000,50500,0,77500,Ashburton Transport
P079650,Regional Biodiversity,Bio,CWMS Ecosystem Protection - Ashburton Zone,106900,106900,0,0,0,106900,Ashburton zone
PATS,Flood Protection and Control Works,Hazards,Ashburton Town Stopbank,11600,35600,201600,0,-225600,11600,AshburtonTown Stopba
PASH,Flood Protection and Control Works,Hazards,Ashley,689300,118900,673900,0,-103500,689300,Ashley
P070703,Flood Protection and Control Works,Hazards,Ashley Rakahuri Regional Park,162200,23100,131000,0,8100,162200,Ashley Rakahuri
P072001,Biosecurity,Bio,CIP - Banks Peninsula Possum Control,118600,29000,87000,0,2600,118600,Banks Peninsula - Possum
P037404,Biosecurity,Bio,Rabbit Population Trend Monitoring,46200,23200,23200,0,-200,46200,Banks Peninsula - Rabbit
P079640,Regional Biodiversity,Bio,CWMS Ecosystem Protection - Banks Peninsula Zone,104600,104600,0,0,0,104600,Banks Peninsula zone
P079635,Regional Biodiversity,Bio,CWMS Ecosystem Protection - Chch-West Melton Zone,104600,104600,0,0,0,104600,Chch/West Melton zone
P046531,Public Transport,Transport,Vehicle Trusts - Cheviot,10400,0,4200,6200,0,10400,Cheviot
P039605,Cleaner Home Heating,Air,Air Implementation (Subsidies) - Christchurch,205000,0,0,0,205000,205000,Christchurch Air
P046400,Public Transport,Transport,PT Bus Contract Payments - Christchurch,50013600,0,15359100,18239300,16415200,50013600,Christchurch Transport
