Unique ID,Road transport code,Year,Region,South Island Dual Fuel Trucks,Diesel Emissions,Duel Fuel Emissions,Duel fuel emmission savings,Emissions total,Abatement Duel fuel diesel hydrogen,Abatement fuel cell electric vehicle,Abatement biodiesel (FAME),Abatement renewable diesel,
FURNITURE REMOVALS-Canterbury Region-2022,FURNITURE REMOVALS,2022,Canterbury Region,2,0,264,0,0,264,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2022,GENERAL GOODS - LINE HAULAGE,2022,Canterbury Region,397,0,52404,0,0,52404,0,0,0,0
GENERAL GOODS - LOCAL-Canterbury Region-2022,GENERAL GOODS - LOCAL,2022,Canterbury Region,342,0,45144,0,0,45144,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2022,HEAVY HAULAGE,2022,Canterbury Region,44,0,5808,0,0,5808,0,0,0,0
LOG HAULAGE-Canterbury Region-2022,LOG HAULAGE,2022,Canterbury Region,102,0,13464,0,0,13464,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2022,REFRIG. HAULAGE,2022,Canterbury Region,33,0,4356,0,0,4356,0,0,0,0
STOCK CARTAGE-Canterbury Region-2022,STOCK CARTAGE,2022,Canterbury Region,176,0,23232,0,0,23232,0,0,0,0
FURNITURE REMOVALS-Otago Region-2022,FURNITURE REMOVALS,2022,Otago Region,1,0,132,0,0,132,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2022,GENERAL GOODS - LINE HAULAGE,2022,Otago Region,180,0,23760,0,0,23760,0,0,0,0
GENERAL GOODS - LOCAL-Otago Region-2022,GENERAL GOODS - LOCAL,2022,Otago Region,192,0,25344,0,0,25344,0,0,0,0
HEAVY HAULAGE-Otago Region-2022,HEAVY HAULAGE,2022,Otago Region,46,0,6072,0,0,6072,0,0,0,0
LOG HAULAGE-Otago Region-2022,LOG HAULAGE,2022,Otago Region,201,0,26532,0,0,26532,0,0,0,0
REFRIG. HAULAGE-Otago Region-2022,REFRIG. HAULAGE,2022,Otago Region,12,0,1584,0,0,1584,0,0,0,0
STOCK CARTAGE-Otago Region-2022,STOCK CARTAGE,2022,Otago Region,147,0,19404,0,0,19404,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2022,GENERAL GOODS - LINE HAULAGE,2022,Tasman Marlborough,89,0,11748,0,0,11748,0,0,0,0
GENERAL GOODS - LOCAL-Tasman Marlborough-2022,GENERAL GOODS - LOCAL,2022,Tasman Marlborough,64,0,8448,0,0,8448,0,0,0,0
HEAVY HAULAGE-Tasman Marlborough-2022,HEAVY HAULAGE,2022,Tasman Marlborough,10,0,1320,0,0,1320,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2022,LOG HAULAGE,2022,Tasman Marlborough,134,0,17688,0,0,17688,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2022,REFRIG. HAULAGE,2022,Tasman Marlborough,8,0,1056,0,0,1056,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2022,STOCK CARTAGE,2022,Tasman Marlborough,23,0,3036,0,0,3036,0,0,0,0
